,en,es,de,pl
KEY_OPTIONS_READY_TO_ASSIGN,"Click on a button to assign new key to the action, or press ESC to cancel","Haga clic en un botón para asignar una nueva clave a la acción, o presione ESC para cancelar","Klicken Sie auf die Schaltfläche neben dem Aktionsnamen, um dieser Aktion eine neue Schaltfläche zuzuordnen, oder drücken Sie die Esc-Taste, um den Vorgang abzubrechen","Kliknij na przycisk obok nazwy akcji aby powiązać nowy przycisk z tą akcją, lub naciśnij Esc aby anulować"
KEY_OPTIONS_ASSIGNING,Press a key to assign it to the selected action,Presione una tecla para asignarla a la acción seleccionada,"Drücken Sie die Taste, um sie der ausgewählten Aktion zuzuweisen",Naciśnij przycisk aby przypisać go do wybranej akcji
KEY_OPTIONS_STERRING_UP,Go UP,Subir,Geh hinauf,Idź do góry
KEY_OPTIONS_STERRING_DOWN,Go DOWN,Bajar,Nach unten gehen,Idź na dół
KEY_OPTIONS_STERRING_LEFT,Go LEFT,Ve a la izquierda,Gehe nach links,Idź w lewo
KEY_OPTIONS_STERRING_RIGHT,Go RIGHT,Ve a la derecha,Geh rechts,Idź w prawo
KEY_OPTIONS_LANG,Language,Idioma,Sprache,Język
KEY_OPTIONS_LANG_EN,English,Idioma inglés,Englisch,Angielski
KEY_OPTIONS_LANG_ES,Spanish,Idioma español,Spanisch,Hiszpański
KEY_OPTIONS_LANG_DE,German,Idioma alemán,Deutsche,Niemiecki
KEY_OPTIONS_LANG_PL,Polish,Idioma polaco,Polieren,Polski
KEY_OPTIONS_PRIMARY_BUTTONS,Primary buttons,Botones primarios,Erstklassige Tasten,Pierwszorzędne przyciski
KEY_OPTIONS_SECONDARY_BUTTONS,Secondary buttons,Botones secundarios,Sekundärtasten,Drugorzędne przyciski
KEY_DOWNLOADING_REQUIRED_GAME_ASSETS,Downloading required game assets,Descargar los recursos necesarios del juego,Laden Sie die erforderlichen Spielressourcen herunter,Pobieranie wymaganych zasobów gry
KEY_OPTIONS_LANG_ES_MX,Spanish (Mexico),Idioma Español (mexico),Spanisch (Mexiko),Hiszpański (Meksyk)
KEY_OPTIONS_LANG_JA,Japanese,Idioma japonés,Japanisch,Japoński
KEY_OPTIONS_LANG_RU,Russian,Idioma ruso,Russisch (Russisch),Rosyjski (ruski)
KEY_OPTIONS_LANG_ZH,Chinese (phonetic symbols),Idioma chino (símbolos fonéticos),Chinesisch (phonetische Zeichen),Chiński (znaki fonetyczne)
KEY_HAPPY_BDAY,Happy Birthday for: ,Feliz cumpleaños a,Alles Gute zum Geburtstag an,Wszystkiego najlepszego z okazji urodzin dla:
KEY_OPTIONS_NSFW,NSFW,NSFW,NSFW,NSFW
KEY_AUTHORS,Authors,Autores,Autoren,Autorzy
KEY_WORLD_LIST,Select World,Seleccione mundo,Wählen Sie Welt,Wybierz Świat
KEY_OPTIONS_LICENSES,See Licenses,Ver licencias,Siehe Lizenzen,Zobacz Licencje
KEY_OPTIONS_OTHER,OTHER OPTIONS,OTRAS OPCIONES,ANDERE OPTIONEN,INNE
KEY_OPTIONS_INSTALL_DLC,Install DLC,,,Zainstaluj DLC
KEY_INSTALL_DLC_DIALOG,Select DLC file,,,Wybierz plik z DLC
KEY_INSTALL_DLC_SUCCESS,DLC was installed succesfully,,,DLC zostało zainstalowane poprawnie
KEY_SUCCESS,SUCCESS!,,,SUKCES!
KEY_INSTALL_DLC_FAILED,"Failed to install DLC

Want to try again?",,,"Błąd instalacji DLC

Czy chcesz spróbować ponownie?"
KEY_FAILED,FAILED!,,,BŁĄD!
KEY_OPTIONS_MANAGE_DLCS,Manage Installed DLCS,,,Zarządzaj zainstalowanymi DLC
KEY_OPTIONS_REMOVE_DLC,Remove DLC,,,Usuń DLC
